index,title,type,release_year,genres,production_countries,imdb_score,imdb_votes
4395,Sing On!,SHOW,2020,"['reality', 'music']",['US'],6.4,380
4396,Indoo Ki Jawani,MOVIE,2020,"['comedy', 'drama']",['IN'],3,6075
4403,Paava Kadhaigal,SHOW,2020,"['drama', 'family']",['IN'],8.1,6628
4405,The Devil Punisher,SHOW,2020,"['scifi', 'fantasy', 'romance']",['TW'],5.9,157
4410,Guillermo Vilas: Settling the Score,MOVIE,2020,"['documentation', 'sport']",['AR'],7.1,650
4413,Krishna and His Leela,MOVIE,2020,"['comedy', 'romance']",[],5.6,1562
4415,Raat Akeli Hai,MOVIE,2020,"['thriller', 'crime', 'drama']",['IN'],7.3,17570
4417,Country Ever After,SHOW,2020,"['reality', 'music']",['US'],6.3,169
4418,Dogwashers,MOVIE,2020,"['comedy', 'drama', 'crime']","['AR', 'CO']",5.8,597
4423,Thiago Ventura: POKAS,MOVIE,2020,['comedy'],['BR'],6.4,190
4425,Rhyme Time Town,SHOW,2020,"['animation', 'comedy', 'family']",['US'],7.5,78
4426,Hunter in the Blue Side of Manchester,MOVIE,2020,['drama'],['ID'],5.8,43
4431,Torbaaz,MOVIE,2020,"['drama', 'thriller', 'action', 'sport']",['IN'],7,17828
4432,Sam Jay: 3 in the Morning,MOVIE,2020,['comedy'],[],6.4,504
4438,Crazy Awesome Teachers,MOVIE,2020,"['comedy', 'drama']",['ID'],6.2,438
4439,"Coronavirus, Explained",SHOW,2020,['documentation'],['US'],7.6,2223
4447,Any Crybabies Around?,MOVIE,2020,['drama'],['JP'],6,155
4449,Hasmukh,SHOW,2020,"['crime', 'comedy', 'drama']",['IN'],5.3,2673
4450,Bulletproof 2,MOVIE,2020,"['crime', 'action', 'comedy', 'drama']",['US'],3.5,609
4454,A Choo,MOVIE,2020,"['comedy', 'romance', 'fantasy', 'action']",['TW'],5.4,357
4457,Eeb Allay Ooo!,MOVIE,2020,"['drama', 'comedy']",['IN'],7.2,1532
4461,Twogether,SHOW,2020,['reality'],[],8.4,456
4462,Choked: Paisa Bolta Hai,MOVIE,2020,"['drama', 'thriller']",['IN'],5.7,5333
4464,Afonso Padilha: Classless,MOVIE,2020,['comedy'],['BR'],6.9,194
4466,A Queen Is Born,SHOW,2020,['reality'],['BR'],5.9,148
4469,A Go! Go! Cory Carson Halloween,MOVIE,2020,"['family', 'animation', 'horror']",[],6.3,52
4473,Sky Tour: The Movie,MOVIE,2020,"['documentation', 'music']",[],8.8,1036
4476,Sing On! Spain,SHOW,2020,"['music', 'reality']",['ES'],6,130
4480,The Lost Okoroshi,MOVIE,2020,"['action', 'drama']",['NG'],5.8,172
4481,Cooked With Cannabis,SHOW,2020,['reality'],['US'],6.5,340
4482,Kappela,MOVIE,2020,"['comedy', 'romance']",['IN'],7.5,3212
4486,London Hughes: To Catch A D*ck,MOVIE,2020,['comedy'],['US'],4.7,318
4488,Velvet Colección: Grand Finale,MOVIE,2020,"['comedy', 'romance']","['US', 'ES']",7.2,8
4489,Dark City Beneath the Beat,MOVIE,2020,"['music', 'documentation']",['US'],6.7,138
4493,Citation,MOVIE,2020,"['thriller', 'drama']",['NG'],6.1,958
4494,Voices of Fire,SHOW,2020,"['music', 'reality']",['US'],6.8,382
4500,Bhangra Paa Le,MOVIE,2020,"['music', 'comedy', 'drama']",['IN'],6.2,353
4501,Anelka: Misunderstood,MOVIE,2020,"['documentation', 'sport']",['FR'],6.4,3120
4506,La Vocera,MOVIE,2020,['documentation'],['MX'],7.2,54
4508,"Rob Schneider: Asian Momma, Mexican Kids",MOVIE,2020,['comedy'],['US'],5.5,716
4510,Seriously Single,MOVIE,2020,"['romance', 'comedy']",['ZA'],4.4,1258
4512,Badanamu Stories,SHOW,2020,['animation'],[],3.4,6
4514,Alex Fernández: The Best Comedian in the World,MOVIE,2020,['comedy'],['MX'],6.2,139
4516,Asura Guru,MOVIE,2020,"['crime', 'thriller', 'action']",['IN'],3.2,316
4518,Lift Like a Girl,MOVIE,2020,['documentation'],"['DK', 'EG', 'DE']",7.8,208
4521,Gone,MOVIE,2020,"['horror', 'drama']",['AU'],7.1,18
4528,Voiceless,MOVIE,2020,['thriller'],[],6.8,31
4529,Mujeres arriba,MOVIE,2020,"['comedy', 'romance']",['CL'],3.8,468
4533,RattleSnake: The Ahanna Story,MOVIE,2020,['drama'],[],5.3,101
4536,Bookmarks: Celebrating Black Voices,SHOW,2020,['family'],['US'],5,160
4537,"No andaba muerto, estaba de parranda",MOVIE,2020,['comedy'],[],5.2,102
4540,George Lopez: We'll Do It for Half,MOVIE,2020,['comedy'],['US'],5.7,444
4542,Maska,MOVIE,2020,"['comedy', 'drama', 'romance']",['IN'],5.8,1433
4545,Class of '83,MOVIE,2020,"['crime', 'action', 'drama', 'thriller']",['IN'],5.8,5571
4548,Vir Das: For India,MOVIE,2020,['comedy'],['IN'],7.7,1232
4551,Night on Earth: Shot in the Dark,MOVIE,2020,['documentation'],[],7.8,290
4552,Love and Fury,MOVIE,2020,['documentation'],[],6.8,25
4553,Thomas & Friends: Marvelous Machinery,MOVIE,2020,"['family', 'fantasy', 'animation', 'action']",[],6.1,15
4559,Chaman Bahar,MOVIE,2020,"['drama', 'comedy']",['IN'],7,6732
4563,Yeh Ballet,MOVIE,2020,['drama'],['IN'],7.5,1312
4570,True: Friendship Day,MOVIE,2020,"['animation', 'family']",['CA'],6.8,22
4578,Spirit Riding Free: Ride Along Adventure,MOVIE,2020,"['animation', 'action', 'drama', 'family', 'western', 'comedy']",['US'],5.9,60
4581,Fan Girl,MOVIE,2020,['drama'],['PH'],6.7,366
4583,A Trash Truck Christmas,MOVIE,2020,"['animation', 'comedy', 'family']",['US'],5.5,212
4585,Mighty Little Bheem: Festival of Colors,SHOW,2020,"['animation', 'comedy']",[],7.2,37
4586,"Yours Sincerely, Kanan Gill",MOVIE,2020,['comedy'],['IN'],7.2,948
4596,Omo Ghetto: The Saga,MOVIE,2020,"['comedy', 'drama', 'action']",[],7.2,50
4598,Amit Tandon: Family Tandoncies,MOVIE,2020,['comedy'],['IN'],7,250
4600,40 Sticks,MOVIE,2020,"['thriller', 'crime']",[],6.7,99
4601,An Unremarkable Christmas,MOVIE,2020,"['comedy', 'drama']",[],3.2,139
4602,Who's the Boss,MOVIE,2020,"['comedy', 'romance']",[],5.6,36
4603,Love Like the Falling Rain,MOVIE,2020,"['drama', 'romance', 'fantasy']",['ID'],4.9,200
4606,Kilometers and Kilometers,MOVIE,2020,"['drama', 'comedy']",['IN'],6.4,1538
4610,Cops and Robbers,MOVIE,2020,['animation'],['US'],6.9,
4611,Nailed It! Germany,SHOW,2020,['reality'],['DE'],5.7,100
4615,Hope Ranch,MOVIE,2020,['family'],['US'],4.3,229
4616,Six Windows in the Desert,SHOW,2020,"['drama', 'comedy', 'history', 'scifi']",['SA'],4.3,3074
4623,We Are One,MOVIE,2020,['documentation'],['FR'],4.6,92
4626,Small Chops,MOVIE,2020,['drama'],['NG'],2.9,30
4627,Finding Agnes,MOVIE,2020,['drama'],['PH'],4.9,155
4630,Rhys Nicholson: Live at the Athenaeum,MOVIE,2020,['comedy'],[],7.6,296
4631,Perfume Imaginary Museum “Time Warp”,MOVIE,2020,['music'],['JP'],6.5,23
4633,Kannum Kannum Kollaiyadithaal,MOVIE,2020,"['comedy', 'drama', 'romance', 'thriller']",['IN'],7.7,6647
4637,GIMS: On the Record,MOVIE,2020,"['music', 'documentation']",['FR'],6.8,207
4639,Leyla Everlasting,MOVIE,2020,['comedy'],['TR'],3.7,7453
4640,Bigflo & Oli: Hip Hop Frenzy,MOVIE,2020,"['documentation', 'music']",['FR'],6.7,118
4651,David Batra: Elephant in The Room,MOVIE,2020,['comedy'],['SE'],5.9,196
4652,A New York Christmas Wedding,MOVIE,2020,"['drama', 'romance']",['US'],5.3,1111
4654,Sanitation Day,MOVIE,2020,['thriller'],['NG'],3.3,17
4656,One Day We'll Talk About Today,MOVIE,2020,"['drama', 'family', 'music', 'documentation']",['ID'],7.4,1116
4660,True: Terrific Tales,SHOW,2020,"['animation', 'family']",['US'],5.7,22
4661,The Beginning of Life 2: Outside,MOVIE,2020,['documentation'],['BR'],8.1,18
4664,Fukrey Boyzzz: Space Mein Fukrapanti,MOVIE,2020,"['animation', 'family', 'comedy']",[],7.8,14
4667,Anitta: Made in Honório,SHOW,2020,"['documentation', 'music']",['BR'],6.8,398
